Location,Drop point,Product Name,Article Number,Dimension(LxWxH)(cm),Weight(kg),Price(RM),Color,Description
1,1,KVARNVIK,304.668.70,25x18x15,0.42,35,Belge,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for jewellery, make-up or socks. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,504.128.76,25x18x15,0.42,35,Grey,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for jewellery, make-up or socks. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,504.594.87,35x32x32,1.41,59,Belge,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for things like games and clothes. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,904.669.52,35x32x32,1.41,59,Grey,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for things like games and clothes. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,904.594.85,35x25x20,0.86,49,Belge,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for both accessories and keepsakes. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,904.128.79,35x25x20,0.86,49,Grey,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for both accessories and keepsakes. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,HÖSSLA,105.126.70,0x13x15,0.23,8,White,"This bookend helps you keep your books in place on your desk, the kitchen counter or in a bookcase. You can also wedge important notes or photos in the openings on the outside of the bookend."
1,2,MURVEL,204.694.21,24x14x14,0.1,5,Grey,"Twice as many shoes in the same space? Yes, it’s actually possible – since you can store shoes vertically in MURVEL shoe storage. An easy way to organise and save space."
1,3,LAGERPOPPEL,605.618.04,50x50x0,0.21,15,Blue-Grey,"LAGERPOPPEL cushion cover in blue-grey has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,3,LAGERPOPPEL,705.618.13,50x50x0,0.21,15,Grey-Green,"LAGERPOPPEL cushion cover in grey-green has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,3,LAGERPOPPEL,205.618.15,50x50x0,0.21,15,Light Blue-Grey,"LAGERPOPPEL cushion cover in light blue-grey has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,3,LAGERPOPPEL,005.618.02,50x50x0,0.21,15,Light Pink,"LAGERPOPPEL cushion cover in light pink has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,3,LAGERPOPPEL,805.617.99,50x50x0,0.21,15,Off-White,"LAGERPOPPEL cushion cover in off-white has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,3,LAGERPOPPEL,305.618.10,50x50x0,0.21,15,Yellow-beige,"LAGERPOPPEL cushion cover in yellow-beige has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,3,IDALINNEA,005.482.93,50x50x0,0.21,20,Arthracite,"The romantic white florals on an anthracite base brings a traditional and fresh feel to any bed, sofa or armchair. IDALINNEA cushion cover pairs beautifully with both solid and patterned textiles."
1,3,IDALINNEA,605.709.88,50x50x0,0.21,20,Dark Grey-Blue,"The floral pattern brings a traditional feel to your home. IDALINNEA cushion cover brings a fresh new look to any bed, sofa or armchair and pairs beautifully with both solid and patterned textiles."
1,3,IDALINNEA,205.709.90,50x50x0,0.21,20,Yellow-brown,"The floral pattern brings a traditional feel to your home. IDALINNEA cushion cover brings a fresh new look to any bed, sofa or armchair and pairs beautifully with both solid and patterned textiles."
1,3,KLOTSTARR,105.634.81,50x50x0,0.21,30,Anthracite,The anthracite tone of KLOTSTARR cushion cover is made from agricultural residue of the saw palmetto palm. The earthy shade pairs well with the waffled texture and injects a soft new look into your room.
1,3,KLOTSTARR,905.634.77,50x50x0,0.21,30,Pale Pink,The pale pink tone of KLOTSTARR cushion cover is made from agricultural residue of the beetroot. The earthy shade pairs well with the waffled texture and injects a soft new look into your room.
1,3,AROMATISK,605.889.74,45x45x10,1.1,75,Pink,"A floor cushion is perfect as an extra seat. This one has a pink top and piping, lotus flowers on the sides and a handle that makes it easy to carry and hang. Part of the AROMATISK collection."
1,4,RUNDKRASSING,105.828.04,50x50x0,0.18,12,White,"RUNDKRASSING cushion cover with pink, blue, green and yellow dots against a white canvas adds a playful touch to any sofa, bed, bench or armchair. Pairs perfectly with PRAKTFJÄRIL throw."
1,4,GURLI,602.811.39,50x50x0,0.17,10,Black,A popular cushion cover that’s easy to mix and match with other solid-coloured or patterned cushions. Available in many colours – choose your favourite. Made of cotton from more sustainable sources.
1,4,GURLI,405.628.85,50x50x0,0.17,10,Bright Green,An all-cotton cushion cover in an expressive bright green tone that catches the eye wherever you place it. GURLI cushion covers come in many colours and sizes so you can pick your favourites.
1,4,GURLI,003.958.22,50x50x0,0.17,10,Golden-Yellow,A popular cushion cover that’s easy to mix and match with other solid-coloured or patterned cushions. Available in many colours – choose your favourite. Made of cotton from more sustainable sources.
1,4,GURLI,205.628.86,50x50x0,0.17,10,Pink,An all-cotton cushion cover in an expressive pop of pink that catches the eye wherever you place it. GURLI cushion covers come in many colours and sizes so you can pick your favourites.
1,4,GURLI,502.811.49,50x50x0,0.17,10,Red,A popular cushion cover that’s easy to mix and match with other solid-coloured or patterned cushions. Available in many colours – choose your favourite. Made of cotton from more sustainable sources.
1,4,GURLI,102.811.51,50x50x0,0.17,10,White,A popular cushion cover that’s easy to mix and match with other solid-coloured or patterned cushions. Available in many colours – choose your favourite. Made of cotton from more sustainable sources.
1,4,FJÄDRAR,805.392.23,40x58x0,0.975,30,Grey,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,4,FJÄDRAR,802.621.92,50x50x0,0.825,30,Off-White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,4,FJÄDRAR,402.671.20,65x65x0,1.625,60,White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,4,BRÄNNBOLL,505.866.21,20x20x3,0.2,25,Cork,Game on – with less spills. Snacks and beverages are a must when gaming. With this smart coaster you reduce the risk of accidentally spilling while you focus on the match.
1,5,RÖDEBY,504.249.40,37x65x1,0.75,49,Bamboo,The perfect helper when hanging out on the sofa. Put RÖDEBY armrest tray over the armrest to enjoy a sturdy storage area in a flash for everything from a bowl of snacks to a coffee mug or other beverages.
1,5,RÖDEBY,805.029.41,37x65x1,0.75,49,Black,The perfect helper when hanging out on the sofa. Put RÖDEBY armrest tray over the armrest to enjoy a sturdy storage area in a flash for everything from a bowl of snacks to a coffee mug or other beverages.
1,6,SKUGGBRÄKEN,205.826.86,160x120x0,0.35,35,Multicolor,"The material envelops you in a world of softness and comfort, embracing you like a cherished best friend."
1,7,LAGERPOPPEL,605.618.04,50x50x0,0.21,15,Blue-Grey,"LAGERPOPPEL cushion cover in blue-grey has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,7,LAGERPOPPEL,705.618.13,50x50x0,0.21,15,Grey-Green,"LAGERPOPPEL cushion cover in grey-green has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,7,LAGERPOPPEL,205.618.15,50x50x0,0.21,15,Light Blue-Grey,"LAGERPOPPEL cushion cover in light blue-grey has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,7,LAGERPOPPEL,005.618.02,50x50x0,0.21,15,Light Pink,"LAGERPOPPEL cushion cover in light pink has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,7,LAGERPOPPEL,805.617.99,50x50x0,0.21,15,Off-White,"LAGERPOPPEL cushion cover in off-white has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,7,LAGERPOPPEL,305.618.10,50x50x0,0.21,15,Yellow-beige,"LAGERPOPPEL cushion cover in yellow-beige has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,7,FJÄDRAR,805.392.23,40x58x0,0.975,30,Grey,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,7,FJÄDRAR,802.621.92,50x50x0,0.825,30,Off-White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,7,FJÄDRAR,402.671.20,65x65x0,1.625,60,White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,7,UNDERBLOMMA,805.722.03,50x50x0,0.29,40,Black/ Grey-Green,This cushion cover in black/grey-green has a happy feel with a pattern of frisky leaves dancing in the wind. Thick cotton/jute fabric and boxed corners that create a square shape.
1,7,UNDERBLOMMA,805.721.99,50x50x0,0.29,40,White/ Green,This cushion cover in white/green has a happy feel with a pattern of frisky leaves dancing in the wind. Thick cotton/jute fabric and boxed corners that create a square shape.
1,7,UNDERBLOMMA,205.722.01,50x50x0,0.29,40,White/ Light Grey-Green,This cushion cover in white/light grey-green has a happy feel with a pattern of frisky leaves dancing in the wind. Thick cotton/jute fabric and boxed corners that create a square shape.
1,7,HEDSÄV,904.855.78,50x50x0,0.19,30,Off-White,When you have a soft spot for natural! Made from pure cotton with a textured tactile pattern. The off-white tone will fit right in with your collection of beiges or create a calming break among colours.
1,7,SVARTPOPPEL,705.430.08,50x50x0,0.22,20,Grey-Green,Super-soft cushion cover in grey-green with a tactile pattern that enhances the different tones in the pile and base. Take your pick from an array of colours or mix. Made of recycled polyester.
1,7,SVARTPOPPEL,305.430.05,50x50x0,0.22,20,Off-White,Super-soft cushion cover in off-white with a tactile pattern that enhances the different tones in the pile and base. Take your pick from an array of colours or mix. Made of recycled polyester.
1,7,SVARTPOPPEL,105.430.11,50x50x0,0.22,20,Yellow,Super-soft cushion cover in yellow with a tactile pattern that enhances the different tones in the pile and base. Take your pick from an array of colours or mix. Made of recycled polyester.
1,7,MOSSMOTT,605.821.18,170x130x0,0.65,75,Black/ White,"It doesn’t get much cozier than this. This soft, rib-knit chenille throw from 100% recycled polyester has you covered on chilly evenings. The black and white stripes boost the relaxing, chill-out vibe."
1,7,SKUGGNÄVA,705.177.83,40x58x12,0.64,65,White/ Grey,A pure cotton cushion with a lively embroidered floral pattern in tones of grey. Reverse side in matching solid grey with button closure. Soft and resilient filling of recycled polyester.
1,7,TRETTIOEN,705.012.68,15x38x19,0.58,55,Aluminium,This timeless pendant lamp in a classic style gives you a pleasant directed light – perfect to have over the dining table or kitchen island. Do you like the style? Buy several and hang them in a row.
1,7,TRETTIOEN,305.643.66,15x38x19,0.58,55,Blue,This timeless pendant lamp in a classic style gives you a pleasant directed light – perfect to have over the dining table or kitchen island. Do you like the style? Buy several and hang them in a row.
1,7,TRETTIOEN,805.641.04,15x38x19,0.58,55,White,This timeless pendant lamp in a classic style gives you a pleasant directed light – perfect to have over the dining table or kitchen island. Do you like the style? Buy several and hang them in a row.
1,7,INNER,305.507.03,50x50x0,0.435,15,White/ Firm,"A comfort booster for your sofa or armchair, made with a woven fabric layer that is generously filled for extra plumpness. Simply dress it with a cover to match the season, style – or your mood."
1,8,GURLI,602.811.39,50x50x0,0.17,10,Black,A popular cushion cover that’s easy to mix and match with other solid-coloured or patterned cushions. Available in many colours – choose your favourite. Made of cotton from more sustainable sources.
1,8,GURLI,405.628.85,50x50x0,0.17,10,Bright Green,An all-cotton cushion cover in an expressive bright green tone that catches the eye wherever you place it. GURLI cushion covers come in many colours and sizes so you can pick your favourites.
1,8,GURLI,003.958.22,50x50x0,0.17,10,Golden-Yellow,A popular cushion cover that’s easy to mix and match with other solid-coloured or patterned cushions. Available in many colours – choose your favourite. Made of cotton from more sustainable sources.
1,8,GURLI,205.628.86,50x50x0,0.17,10,Pink,An all-cotton cushion cover in an expressive pop of pink that catches the eye wherever you place it. GURLI cushion covers come in many colours and sizes so you can pick your favourites.
1,8,GURLI,502.811.49,50x50x0,0.17,10,Red,A popular cushion cover that’s easy to mix and match with other solid-coloured or patterned cushions. Available in many colours – choose your favourite. Made of cotton from more sustainable sources.
1,8,GURLI,102.811.51,50x50x0,0.17,10,White,A popular cushion cover that’s easy to mix and match with other solid-coloured or patterned cushions. Available in many colours – choose your favourite. Made of cotton from more sustainable sources.
1,8,FJÄDRAR,805.392.23,40x58x0,0.975,30,Grey,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,8,FJÄDRAR,802.621.92,50x50x0,0.825,30,Off-White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,8,FJÄDRAR,402.671.20,65x65x0,1.625,60,White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,8,DYTÅG,105.909.79,50x50x0,0.21,55,White,"A washed linen fabric in white, with a soft texture that creates a casual, effortless look that only gets better with each wash. Pairs up perfectly with DYTÅG curtains and bed linen."
1,8,DYTÅG,605.170.38,50x50x0,0.21,55,Black,"A washed linen fabric in white, with a soft texture that creates a casual, effortless look that only gets better with each wash. Pairs up perfectly with DYTÅG curtains and bed linen."
1,8,DYTÅG,505.541.30,50x50x0,0.21,55,Grey-Green,"A washed linen fabric in white, with a soft texture that creates a casual, effortless look that only gets better with each wash. Pairs up perfectly with DYTÅG curtains and bed linen."
1,8,DYTÅG,905.176.83,50x50x0,0.21,55,Red-Brown,"A washed linen fabric in white, with a soft texture that creates a casual, effortless look that only gets better with each wash. Pairs up perfectly with DYTÅG curtains and bed linen."
1,8,SVARTHÖ,703.428.30,50x50x0,0.34,55,Beige,"This cushion cover takes a spin into the 60’s with its graphic pattern in colours that bring harmony. It’s jacquard-woven, meaning the design is woven into the fabric, giving it a nice, thick texture."
1,8,SVARTHÖ,805.420.94,50x50x0,0.34,55,Multicolor,"This cushion cover takes a spin into the 60’s with its graphic pattern in colours that bring harmony. It’s jacquard-woven, meaning the design is woven into the fabric, giving it a nice, thick texture."
1,9,HANNELISE,704.650.53,50x50x0,0.53,40,Multicolor,HANNELISE cushion has an expressive chevron pattern that makes a statement wherever you put it. It’s beautiful on its own or why not match it with a solid-coloured GURLI cushion cover?
1,9,SANELA,005.909.13,50x50x0,0.16,30,Beige-Yellow,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in both neutral colours that are easy to coordinate and eye-catching colours that stand out. Pairs well with KLIPPOXEL throw."
1,9,SANELA,205.909.31,50x50x0,0.16,30,Blue,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in both neutral colours that are easy to coordinate and eye-catching colours that stand out. Pairs well with KLIPPOXEL throw."
1,9,SANELA,105.909.22,50x50x0,0.16,30,Pink,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in both neutral colours that are easy to coordinate and eye-catching colours that stand out. Pairs well with KLIPPOXEL throw."
1,9,SANELA,605.909.29,50x50x0,0.16,30,Dark Grey-Turquoise,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in both neutral colours that are easy to coordinate and eye-catching colours that stand out. Pairs well with KLIPPOXEL throw."
1,9,SANELA,505.074.07,50x50x0,0.16,30,Grey-Green,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in both neutral colours that are easy to coordinate and eye-catching colours that stand out. Pairs well with KLIPPOXEL throw."
1,9,SANELA,305.908.98,50x50x0,0.16,30,Light Beige,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in both neutral colours that are easy to coordinate and eye-catching colours that stand out. Pairs well with KLIPPOXEL throw."
1,9,SANELA,605.908.92,50x50x0,0.16,30,Light Yellow,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in both neutral colours that are easy to coordinate and eye-catching colours that stand out. Pairs well with KLIPPOXEL throw."
1,9,SANELA,505.911.23,50x50x0,0.16,30,Pale Pink,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in both neutral colours that are easy to coordinate and eye-catching colours that stand out. Pairs well with KLIPPOXEL throw."
1,9,SANELA,805.911.31,65x65x0,0.26,55,Beige-Yellow,"SANELA cushion cover, made of lush cotton velvet with a soft sheen. The large size is super-comfy for reading in bed and pairs well with other solid-colour SANELA cushion covers and curtains."
1,9,SANELA,405.911.33,65x65x0,0.26,55,Dark Grey-Turquoise,"SANELA cushion cover, made of lush cotton velvet with a soft sheen. The large size is super-comfy for reading in bed and pairs well with other solid-colour SANELA cushion covers and curtains."
1,9,SANELA,505.911.37,65x65x0,0.26,55,Light Beige,"SANELA cushion cover, made of lush cotton velvet with a soft sheen. The large size is super-comfy for reading in bed and pairs well with other solid-colour SANELA cushion covers and curtains."
1,9,SANELA,104.565.32,65x65x0,0.26,55,Light Olive-Green,"SANELA cushion cover, made of lush cotton velvet with a soft sheen. The large size is super-comfy for reading in bed and pairs well with other solid-colour SANELA cushion covers and curtains."
1,9,SANELA,905.911.35,40x58x0,0.15,30,Blue,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in several colours. Mix with SANELA cushions in different sizes for variety; and why not create a cozy combo with KLIPPOXEL throw?"
1,9,SANELA,205.911.29,40x58x0,0.15,30,Bright Pink,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in several colours. Mix with SANELA cushions in different sizes for variety; and why not create a cozy combo with KLIPPOXEL throw?"
1,9,SANELA,605.911.27,40x58x0,0.15,30,Light Yellow,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in several colours. Mix with SANELA cushions in different sizes for variety; and why not create a cozy combo with KLIPPOXEL throw?"
1,9,SANELA,605.310.15,40x58x0,0.15,30,Pale Grey-Green,"SANELA cushion cover, made of lush cotton velvet with a soft sheen, comes in several colours. Mix with SANELA cushions in different sizes for variety; and why not create a cozy combo with KLIPPOXEL throw?"
1,9,VILDPERSILJA,905.823.34,50x50x0,0.27,30,White Multicolor/ Floral Pattern,Sturdy cotton/linen blend cushion cover inspired by charming gardens full of lush trees and blossoms. The pattern adds a splash of colour to your space and pairs up perfectly with VILDPERSILJA curtains.
1,9,VILDPERSILJA,305.823.32,50x50x0,0.27,30,Black-Green Multicolor/ Floral Pattern,Sturdy cotton/linen blend cushion cover inspired by charming gardens full of lush trees and blossoms. The pattern adds a splash of colour to your space and pairs up perfectly with VILDPERSILJA curtains.
1,9,FRÖDD,905.817.92,50x50x0,0.2,25,Green/ Embroidery,One side has a hand-embroidered pattern reminiscent of a tree’s growth rings and the other has a printed motif that resembles tree bark. A piece of nature created in collaboration with social businesses.
1,9,ÅKERNEJLIKA,905.772.00,50x50x0,0.31,45,Beige/ Embroidery,Hand-embroidered cushion cover in cotton with playful pleats that all adds a romantic expression to your sofa while creating a steady income for the artisans at the social business Rangsutra in India.
1,9,ÅKERNEJLIKA,605.718.03,50x50x0,0.31,45,White Embroidery,Hand-embroidered cushion cover in cotton with playful pleats that all adds a romantic expression to your sofa while creating a steady income for the artisans at the social business Rangsutra in India.
1,9,ÅKERNEJLIKA,305.772.03,50x50x0,0.2,65,Beige/ Flower,This cushion cover with hand-embroidered flowers in the middle adds an elegant expression to your sofa while creating a steady income for the artisans at the social business Jordan River Foundation.
1,9,ÅKERNEJLIKA,205.718.00,50x50x0,0.2,65,Blue Embroidery,This floral cushion cover with hand-embroidered details adds a fresh look to your sofa while creating a steady income for the artisans at the social business Jordan River Foundation.
1,9,ÅKERNEJLIKA,005.718.01,50x50x0,0.2,65,Brown Embroidery,This floral cushion cover with hand-embroidered details adds a fresh look to your sofa while creating a steady income for the artisans at the social business Jordan River Foundation.
1,9,ÅKERNEJLIKA,405.718.04,170x110x0,0.67,75,Multicolor,This handwoven cotton throw with long hand-knotted fringes adds a romantic expression to your sofa while creating a steady income for the artisans at social business Rangsutra in India.
1,9,ÅKERNEJLIKA,805.718.02,40x58x0,0.19,45,Off-White Embroidery,This cushion cover in cotton with a hand-embroidered floral pattern adds a romantic look to your sofa while creating a steady income for the artisans at the social business Rangsutra in India.
1,9,KORALLBUSKE,205.566.30,50x50x0,0.2,30,Anthracite Beuge/ Stripe Pattern,KORALLBUSKE cushion cover in timeless beige/anthracite/white stripes. The pattern is woven with dyed yarn and the cotton/jute blend gives the surface a slightly ruff feel – adding that special edge to the look.
1,9,KORALLBUSKE,905.709.82,50x50x0,0.2,30,Dark Blue Light Blue/ Stripe Pattern,KORALLBUSKE cushion cover in timeless beige/anthracite/white stripes. The pattern is woven with dyed yarn and the cotton/jute blend gives the surface a slightly ruff feel – adding that special edge to the look.
1,9,HOLMVI,105.135.99,120x160x0,0.31,25,Grey,This soft throw in grey with fringes keeps you cosy on chilly evenings whether you are cuddling in the sofa or need an extra layer of warmth while eating al fresco. Made from recycled polyester.
1,9,HOLMVI,805.136.14,120x160x0,0.31,25,Light Grey-Green,This soft throw in light grey-green with fringes keeps you cosy on chilly evenings whether you are cuddling in the sofa or need an extra layer of warmth while eating al fresco. Made from recycled polyester.
1,9,PIPRANKA,905.051.90,50x50x0,0.17,30,Dark Blue,"When you like the subtleness of matte and the luxury of shiny, you can have both with this broad-striped cushion cover. An elegant look in blue that is easy to match with other cushion covers."
1,9,PIPRANKA,105.051.94,50x50x0,0.17,30,Pink,"When you like the subtleness of matte and the luxury of shiny, you can have both with this broad-striped cushion cover. An elegant look in pink that is easy to match with other cushion covers."
1,9,SVARTHÖ,703.428.30,50x50x0,0.34,55,Beige,"This cushion cover takes a spin into the 60’s with its graphic pattern in colours that bring harmony. It’s jacquard-woven, meaning the design is woven into the fabric, giving it a nice, thick texture."
1,9,SVARTHÖ,805.420.94,50x50x0,0.34,55,Multicolor,"This cushion cover takes a spin into the 60’s with its graphic pattern in colours that bring harmony. It’s jacquard-woven, meaning the design is woven into the fabric, giving it a nice, thick texture."
1,9,FJÄDRAR,805.392.23,40x58x0,0.975,30,Grey,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,9,FJÄDRAR,802.621.92,50x50x0,0.825,30,Off-White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,9,FJÄDRAR,402.671.20,65x65x0,1.625,60,White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,9,IDGRAN,705.802.46,50x50x0,0.15,25,Stripe/ Pink Green,"Cushion cover in lovely soft cotton velvet with green and pink stripes that give your room a new, fresh expression. Goes nicely with other velvet cushions and curtains."
1,9,IDGRAN,605.802.42,50x50x0,0.15,25,Green,"Cushion cover in lovely soft cotton velvet with green and pink stripes that give your room a new, fresh expression. Goes nicely with other velvet cushions and curtains."
1,9,SVARTPOPPEL,705.430.08,50x50x0,0.22,20,Grey-Green,Super-soft cushion cover in grey-green with a tactile pattern that enhances the different tones in the pile and base. Take your pick from an array of colours or mix. Made of recycled polyester.
1,9,SVARTPOPPEL,305.430.05,50x50x0,0.22,20,Off-White,Super-soft cushion cover in off-white with a tactile pattern that enhances the different tones in the pile and base. Take your pick from an array of colours or mix. Made of recycled polyester.
1,9,SVARTPOPPEL,105.430.11,50x50x0,0.22,20,Yellow,Super-soft cushion cover in yellow with a tactile pattern that enhances the different tones in the pile and base. Take your pick from an array of colours or mix. Made of recycled polyester.
1,10,FJÄDRAR,805.392.23,40x58x0,0.975,30,Grey,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,10,FJÄDRAR,802.621.92,50x50x0,0.825,30,Off-White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,10,FJÄDRAR,402.671.20,65x65x0,1.625,60,White,"With feathers in the cushion, the sofa corner gets even fluffier, cosier and comfier. When you want to update the style, just change to a cushion cover with a different colour or feel."
1,10,MAJSMOTT,105.634.38,50x50x0,0.17,20,Off-White/ Black,"The expressive, untamed leaf pattern in off-white/black brings a bold graphic look to your living room or bedroom. Made from 100% cotton and a perfect match with MAJSMOTT curtains, bed linen and towels."
